date,close
1896-05-01,29.43
1896-06-01,26.18
1896-07-01,23.19
1896-08-01,23.15
1896-09-01,26.11
1896-10-01,28.54
1896-11-01,29.69
1896-12-01,29.3
1897-01-01,30.46
1897-02-01,29.9
1897-03-01,28.59
1897-04-01,28.22
1897-05-01,28.71
1897-06-01,31.94
1897-07-01,34.73
1897-08-01,39.7
1897-09-01,36.92
1897-10-01,35.35
1897-11-01,34.37
1897-12-01,35.79
1898-01-01,36.22
1898-02-01,33.44
1898-03-01,32.9
1898-04-01,33.13
1898-05-01,38.2
1898-06-01,38.11
1898-07-01,39.12
1898-08-01,43.71
1898-09-01,38.7
1898-10-01,40.15
1898-11-01,41.43
1898-12-01,43.83
1899-01-01,46.61
1899-02-01,48.37
1899-03-01,53.83
1899-04-01,55.84
1899-05-01,48.89
1899-06-01,50.97
1899-07-01,53.4
1899-08-01,54.8
1899-09-01,52.78
1899-10-01,54.3
1899-11-01,54.72
1899-12-01,47.6
1900-01-01,47.89
1900-02-01,46.32
1900-03-01,47.36
1900-04-01,44.42
1900-05-01,42.8
1900-06-01,39.71
1900-07-01,41.14
1900-08-01,41.87
1900-09-01,39.21
1900-10-01,42.76
1900-11-01,48.23
1900-12-01,51.21
1901-01-01,48.39
1901-02-01,48.52
1901-03-01,50.28
1901-04-01,54.9
1901-05-01,54.88
1901-06-01,55.38
1901-07-01,51.88
1901-08-01,53.21
1901-09-01,48.28
1901-10-01,46.68
1901-11-01,47.57
1901-12-01,46.76
1902-01-01,47.04
1902-02-01,46.94
1902-03-01,48.66
1902-04-01,48.53
1902-05-01,48.1
1902-06-01,46.58
1902-07-01,47.67
1902-08-01,48.0
1902-09-01,47.91
1902-10-01,47.84
1902-11-01,45.0
1902-12-01,46.56
1903-01-01,47.05
1903-02-01,47.92
1903-03-01,46.09
1903-04-01,46.19
1903-05-01,43.65
1903-06-01,42.79
1903-07-01,36.76
1903-08-01,38.52
1903-09-01,33.17
1903-10-01,32.46
1903-11-01,32.11
1903-12-01,35.57
1904-01-01,35.57
1904-02-01,34.42
1904-03-01,35.58
1904-04-01,35.42
1904-05-01,34.89
1904-06-01,35.67
1904-07-01,37.75
1904-08-01,39.52
1904-09-01,41.71
1904-10-01,45.65
1904-11-01,52.16
1904-12-01,50.73
1905-01-01,51.66
1905-02-01,54.43
1905-03-01,57.95
1905-04-01,56.4
1905-05-01,53.83
1905-06-01,55.67
1905-07-01,59.17
1905-08-01,58.4
1905-09-01,58.95
1905-10-01,60.67
1905-11-01,65.1
1905-12-01,69.93
1906-01-01,72.92
1906-02-01,68.04
1906-03-01,69.96
1906-04-01,65.57
1906-05-01,67.9
1906-06-01,63.22
1906-07-01,66.93
1906-08-01,68.09
1906-09-01,68.79
1906-10-01,67.29
1906-11-01,68.89
1906-12-01,68.33
1907-01-01,66.41
1907-02-01,65.57
1907-03-01,58.05
1907-04-01,61.05
1907-05-01,56.56
1907-06-01,57.94
1907-07-01,57.12
1907-08-01,52.35
1907-09-01,49.05
1907-10-01,41.79
1907-11-01,41.65
1907-12-01,42.55
1908-01-01,45.41
1908-02-01,44.23
1908-03-01,48.89
1908-04-01,50.37
1908-05-01,52.7
1908-06-01,52.57
1908-07-01,58.19
1908-08-01,61.31
1908-09-01,57.89
1908-10-01,60.05
1908-11-01,63.23
1908-12-01,62.39
1909-01-01,61.29
1909-02-01,58.91
1909-03-01,62.37
1909-04-01,63.94
1909-05-01,66.76
1909-06-01,66.83
1909-07-01,69.65
1909-08-01,70.9
1909-09-01,72.1
1909-10-01,71.68
1909-11-01,69.54
1909-12-01,71.74
1910-01-01,66.57
1910-02-01,66.15
1910-03-01,64.97
1910-04-01,63.13
1910-05-01,62.52
1910-06-01,58.79
1910-07-01,56.18
1910-08-01,57.71
1910-09-01,57.74
1910-10-01,61.39
1910-11-01,59.77
1910-12-01,58.96
1911-01-01,61.51
1911-02-01,61.58
1911-03-01,60.31
1911-04-01,60.34
1911-05-01,61.96
1911-06-01,62.27
1911-07-01,62.3
1911-08-01,57.4
1911-09-01,54.43
1911-10-01,54.89
1911-11-01,58.64
1911-12-01,59.08
1912-01-01,58.08
1912-02-01,58.95
1912-03-01,63.9
1912-04-01,65.4
1912-05-01,63.74
1912-06-01,65.97
1912-07-01,64.97
1912-08-01,66.32
1912-09-01,68.19
1912-10-01,65.7
1912-11-01,66.09
1912-12-01,63.64
1913-01-01,60.63
1913-02-01,58.17
1913-03-01,58.61
1913-04-01,56.88
1913-05-01,56.77
1913-06-01,54.24
1913-07-01,56.84
1913-08-01,59.25
1913-09-01,58.21
1913-10-01,56.71
1913-11-01,55.2
1913-12-01,57.06
1914-01-01,59.97
1914-02-01,59.39
1914-03-01,59.67
1914-04-01,57.3
1914-05-01,59.08
1914-06-01,58.42
1914-07-01,51.73
1914-12-01,54.58
1915-01-01,56.54
1915-02-01,55.02
1915-03-01,60.83
1915-04-01,71.78
1915-05-01,65.01
1915-06-01,70.06
1915-07-01,75.53
1915-08-01,81.2
1915-09-01,90.58
1915-10-01,95.34
1915-11-01,96.71
1915-12-01,99.15
1916-01-01,90.58
1916-02-01,91.03
1916-03-01,93.25
1916-04-01,89.65
1916-05-01,91.8
1916-06-01,89.58
1916-07-01,89.25
1916-08-01,92.25
1916-09-01,103.73
1916-10-01,104.61
1916-11-01,105.97
1916-12-01,95.0
1917-01-01,95.43
1917-02-01,91.56
1917-03-01,96.72
1917-04-01,93.23
1917-05-01,97.38
1917-06-01,95.38
1917-07-01,91.75
1917-08-01,83.4
1917-09-01,83.46
1917-10-01,74.5
1917-11-01,72.65
1917-12-01,74.38
1918-01-01,79.8
1918-02-01,80.39
1918-03-01,76.41
1918-04-01,77.51
1918-05-01,78.08
1918-06-01,82.58
1918-07-01,81.23
1918-08-01,82.46
1918-09-01,84.68
1918-10-01,85.51
1918-11-01,80.93
1918-12-01,82.2
1919-01-01,80.61
1919-02-01,84.81
1919-03-01,88.85
1919-04-01,92.88
1919-05-01,105.5
1919-06-01,106.98
1919-07-01,107.16
1919-08-01,104.75
1919-09-01,111.42
1919-10-01,118.92
1919-11-01,103.72
1919-12-01,107.23
1920-01-01,104.21
1920-02-01,91.18
1920-03-01,102.81
1920-04-01,93.54
1920-05-01,91.81
1920-06-01,90.76
1920-07-01,86.85
1920-08-01,86.16
1920-09-01,82.95
1920-10-01,85.08
1920-11-01,76.04
1920-12-01,71.95
1921-01-01,76.13
1921-02-01,74.98
1921-03-01,75.76
1921-04-01,78.57
1921-05-01,73.44
1921-06-01,68.45
1921-07-01,68.37
1921-08-01,67.11
1921-09-01,71.08
1921-10-01,73.21
1921-11-01,77.3
1921-12-01,80.8
1922-01-01,81.3
1922-02-01,85.46
1922-03-01,89.05
1922-04-01,91.93
1922-05-01,95.63
1922-06-01,92.93
1922-07-01,97.05
1922-08-01,100.78
1922-09-01,97.12
1922-10-01,96.11
1922-11-01,94.65
1922-12-01,98.17
1923-01-01,97.43
1923-02-01,103.9
1923-03-01,102.77
1923-04-01,98.38
1923-05-01,97.53
1923-06-01,88.4
1923-07-01,86.91
1923-08-01,93.46
1923-09-01,87.97
1923-10-01,88.53
1923-11-01,92.34
1923-12-01,95.52
1924-01-01,100.66
1924-02-01,97.22
1924-03-01,93.01
1924-04-01,90.63
1924-05-01,89.9
1924-06-01,96.37
1924-07-01,102.14
1924-08-01,104.14
1924-09-01,103.16
1924-10-01,104.06
1924-11-01,111.1
1924-12-01,120.51
1925-01-01,123.49
1925-02-01,122.24
1925-03-01,116.75
1925-04-01,120.01
1925-05-01,129.95
1925-06-01,131.01
1925-07-01,133.81
1925-08-01,141.18
1925-09-01,143.46
1925-10-01,155.65
1925-11-01,151.08
1925-12-01,156.66
1926-01-01,157.35
1926-02-01,154.68
1926-03-01,140.46
1926-04-01,143.71
1926-05-01,143.43
1926-06-01,153.04
1926-07-01,160.18
1926-08-01,162.51
1926-09-01,158.19
1926-10-01,150.76
1926-11-01,156.55
1926-12-01,157.2
1927-01-01,156.41
1927-02-01,161.96
1927-03-01,160.08
1927-04-01,164.64
1927-05-01,172.96
1927-06-01,166.23
1927-07-01,181.4
1927-08-01,189.79
1927-09-01,197.59
1927-10-01,181.73
1927-11-01,198.21
1927-12-01,200.7
1928-01-01,198.59
1928-02-01,194.78
1928-03-01,214.45
1928-04-01,211.63
1928-05-01,219.81
1928-06-01,210.37
1928-07-01,216.0
1928-08-01,240.41
1928-09-01,237.38
1928-10-01,252.16
1928-11-01,293.38
1928-12-01,300.0
1929-01-01,317.51
1929-02-01,317.41
1929-03-01,308.85
1929-04-01,319.29
1929-05-01,297.41
1929-06-01,331.65
1929-07-01,347.7
1929-08-01,380.33
1929-09-01,343.45
1929-10-01,273.51
1929-11-01,238.95
1929-12-01,248.48
1930-01-01,267.14
1930-02-01,271.11
1930-03-01,286.1
1930-04-01,279.23
1930-05-01,275.07
1930-06-01,226.34
1930-07-01,233.99
1930-08-01,240.42
1930-09-01,204.9
1930-10-01,183.35
1930-11-01,180.91
1930-12-01,164.58
1931-01-01,169.34
1931-02-01,190.34
1931-03-01,172.36
1931-04-01,151.19
1931-05-01,128.46
1931-06-01,150.18
1931-07-01,135.39
1931-08-01,139.41
1931-09-01,96.61
1931-10-01,103.97
1931-11-01,93.87
1931-12-01,77.9
1932-01-01,76.55
1932-02-01,81.44
1932-03-01,73.28
1932-04-01,55.93
1932-05-01,44.74
1932-06-01,42.84
1932-07-01,53.89
1932-08-01,73.16
1932-09-01,71.56
1932-10-01,61.9
1932-11-01,56.35
1932-12-01,60.26
1933-01-01,60.9
1933-02-01,51.39
1933-03-01,55.4
1933-04-01,73.1
1933-05-01,88.11
1933-06-01,98.14
1933-07-01,90.77
1933-08-01,102.41
1933-09-01,94.24
1933-10-01,88.16
1933-11-01,98.14
1933-12-01,98.67
1934-01-01,107.22
1934-02-01,103.46
1934-03-01,100.31
1934-04-01,100.49
1934-05-01,94.0
1934-06-01,95.75
1934-07-01,88.05
1934-08-01,92.86
1934-09-01,92.49
1934-10-01,93.36
1934-11-01,102.94
1934-12-01,104.04
1935-01-01,101.69
1935-02-01,102.38
1935-03-01,100.78
1935-04-01,109.45
1935-05-01,110.64
1935-06-01,118.36
1935-07-01,126.23
1935-08-01,127.35
1935-09-01,131.92
1935-10-01,139.74
1935-11-01,142.34
1935-12-01,144.13
1936-01-01,149.49
1936-02-01,152.53
1936-03-01,156.34
1936-04-01,145.67
1936-05-01,152.64
1936-06-01,157.69
1936-07-01,164.86
1936-08-01,166.29
1936-09-01,167.82
1936-10-01,177.15
1936-11-01,183.22
1936-12-01,179.9
1937-01-01,184.74
1937-02-01,187.17
1937-03-01,186.41
1937-04-01,174.27
1937-05-01,174.71
1937-06-01,169.32
1937-07-01,184.01
1937-08-01,177.41
1937-09-01,154.57
1937-10-01,138.48
1937-11-01,123.48
1937-12-01,120.85
1938-01-01,121.87
1938-02-01,129.64
1938-03-01,98.95
1938-04-01,111.66
1938-05-01,107.74
1938-06-01,133.88
1938-07-01,141.2
1938-08-01,139.27
1938-09-01,141.45
1938-10-01,151.73
1938-11-01,149.82
1938-12-01,154.36
1939-01-01,143.76
1939-02-01,147.3
1939-03-01,131.84
1939-04-01,128.38
1939-05-01,138.18
1939-06-01,130.63
1939-07-01,143.26
1939-08-01,134.41
1939-09-01,150.16
1939-10-01,151.88
1939-11-01,145.69
1939-12-01,149.99
1940-01-01,145.33
1940-02-01,146.54
1940-03-01,147.54
1940-04-01,148.43
1940-05-01,116.22
1940-06-01,122.06
1940-07-01,126.14
1940-08-01,128.88
1940-09-01,132.64
1940-10-01,134.61
1940-11-01,130.03
1940-12-01,131.13
1941-01-01,124.13
1941-02-01,121.97
1941-03-01,122.72
1941-04-01,115.54
1941-05-01,116.23
1941-06-01,123.14
1941-07-01,128.79
1941-08-01,127.43
1941-09-01,126.82
1941-10-01,117.82
1941-11-01,114.66
1941-12-01,110.96
1942-01-01,109.41
1942-02-01,106.58
1942-03-01,99.53
1942-04-01,95.35
1942-05-01,100.88
1942-06-01,103.34
1942-07-01,105.72
1942-08-01,106.33
1942-09-01,109.11
1942-10-01,113.5
1942-11-01,114.5
1942-12-01,119.4
1943-01-01,125.41
1943-02-01,129.71
1943-03-01,136.57
1943-04-01,135.48
1943-05-01,141.18
1943-06-01,143.38
1943-07-01,137.25
1943-08-01,136.62
1943-09-01,140.12
1943-10-01,138.29
1943-11-01,129.57
1943-12-01,135.89
1944-01-01,137.4
1944-02-01,136.3
1944-03-01,138.84
1944-04-01,136.21
1944-05-01,142.24
1944-06-01,148.38
1944-07-01,146.11
1944-08-01,146.99
1944-09-01,146.31
1944-10-01,146.53
1944-11-01,147.33
1944-12-01,151.93
1945-01-01,153.67
1945-02-01,160.4
1945-03-01,154.06
1945-04-01,165.44
1945-05-01,168.3
1945-06-01,164.57
1945-07-01,162.88
1945-08-01,174.29
1945-09-01,180.11
1945-10-01,186.6
1945-11-01,191.46
1945-12-01,192.91
1946-01-01,204.67
1946-02-01,190.09
1946-03-01,199.56
1946-04-01,206.77
1946-05-01,212.28
1946-06-01,205.62
1946-07-01,201.56
1946-08-01,189.19
1946-09-01,172.42
1946-10-01,169.15
1946-11-01,169.78
1946-12-01,177.2
1947-01-01,180.44
1947-02-01,178.9
1947-03-01,177.2
1947-04-01,170.64
1947-05-01,169.25
1947-06-01,177.3
1947-07-01,183.18
1947-08-01,178.85
1947-09-01,177.49
1947-10-01,181.81
1947-11-01,179.51
1947-12-01,181.16
1948-01-01,174.76
1948-02-01,166.8
1948-03-01,177.2
1948-04-01,180.51
1948-05-01,190.74
1948-06-01,189.46
1948-07-01,181.33
1948-08-01,181.71
1948-09-01,178.3
1948-10-01,188.28
1948-11-01,171.2
1948-12-01,177.3
1949-01-01,179.12
1949-02-01,173.06
1949-03-01,177.1
1949-04-01,174.06
1949-05-01,168.36
1949-06-01,167.42
1949-07-01,175.92
1949-08-01,178.66
1949-09-01,182.51
1949-10-01,189.54
1949-11-01,191.55
1949-12-01,200.52
1950-01-01,201.79
1950-02-01,203.44
1950-03-01,206.05
1950-04-01,213.56
1950-05-01,223.42
1950-06-01,209.11
1950-07-01,209.4
1950-08-01,216.87
1950-09-01,226.36
1950-10-01,225.01
1950-11-01,227.6
1950-12-01,235.42
1951-01-01,248.83
1951-02-01,252.05
1951-03-01,248.53
1951-04-01,259.13
1951-05-01,249.65
1951-06-01,242.64
1951-07-01,257.86
1951-08-01,270.25
1951-09-01,271.16
1951-10-01,262.35
1951-11-01,261.27
1951-12-01,269.23
1952-01-01,270.69
1952-02-01,260.08
1952-03-01,269.46
1952-04-01,257.63
1952-05-01,262.94
1952-06-01,274.26
1952-07-01,279.56
1952-08-01,275.04
1952-09-01,270.61
1952-10-01,269.23
1952-11-01,283.66
1952-12-01,291.9
1953-01-01,289.77
1953-02-01,284.27
1953-03-01,279.87
1953-04-01,274.75
1953-05-01,272.28
1953-06-01,268.26
1953-07-01,275.38
1953-08-01,261.22
1953-09-01,264.04
1953-10-01,275.81
1953-11-01,281.37
1953-12-01,280.9
1954-01-01,292.39
1954-02-01,294.54
1954-03-01,303.51
1954-04-01,319.33
1954-05-01,327.49
1954-06-01,333.53
1954-07-01,347.92
1954-08-01,335.8
1954-09-01,360.46
1954-10-01,352.14
1954-11-01,386.77
1954-12-01,404.39
1955-01-01,408.83
1955-02-01,411.87
1955-03-01,409.7
1955-04-01,425.65
1955-05-01,424.86
1955-06-01,451.38
1955-07-01,465.85
1955-08-01,468.18
1955-09-01,466.62
1955-10-01,454.87
1955-11-01,483.26
1955-12-01,488.4
1956-01-01,470.74
1956-02-01,483.65
1956-03-01,511.79
1956-04-01,516.12
1956-05-01,478.05
1956-06-01,492.78
1956-07-01,517.81
1956-08-01,502.04
1956-09-01,475.25
1956-10-01,479.85
1956-11-01,472.78
1956-12-01,499.47
1957-01-01,479.16
1957-02-01,464.62
1957-03-01,474.81
1957-04-01,494.36
1957-05-01,504.93
1957-06-01,503.29
1957-07-01,508.52
1957-08-01,484.35
1957-09-01,456.3
1957-10-01,441.04
1957-11-01,449.87
1957-12-01,435.69
1958-01-01,450.02
1958-02-01,439.92
1958-03-01,446.76
1958-04-01,455.86
1958-05-01,462.7
1958-06-01,478.18
1958-07-01,502.99
1958-08-01,508.63
1958-09-01,532.09
1958-10-01,543.22
1958-11-01,557.46
1958-12-01,583.65
1959-01-01,593.96
1959-02-01,603.5
1959-03-01,601.71
1959-04-01,623.75
1959-05-01,643.79
1959-06-01,643.6
1959-07-01,674.88
1959-08-01,664.41
1959-09-01,631.68
1959-10-01,646.6
1959-11-01,659.18
1959-12-01,679.36
1960-01-01,622.62
1960-02-01,630.12
1960-03-01,616.59
1960-04-01,601.7
1960-05-01,625.5
1960-06-01,640.62
1960-07-01,616.73
1960-08-01,625.99
1960-09-01,580.14
1960-10-01,580.36
1960-11-01,597.22
1960-12-01,615.89
1961-01-01,648.2
1961-02-01,662.08
1961-03-01,676.63
1961-04-01,678.71
1961-05-01,696.72
1961-06-01,683.96
1961-07-01,705.37
1961-08-01,719.94
1961-09-01,701.21
1961-10-01,703.92
1961-11-01,721.6
1961-12-01,731.14
1962-01-01,700.0
1962-02-01,708.05
1962-03-01,706.95
1962-04-01,665.33
1962-05-01,613.36
1962-06-01,561.28
1962-07-01,597.93
1962-08-01,609.18
1962-09-01,578.98
1962-10-01,589.77
1962-11-01,649.3
1962-12-01,652.1
1963-01-01,682.85
1963-02-01,662.94
1963-03-01,682.52
1963-04-01,717.7
1963-05-01,726.96
1963-06-01,706.88
1963-07-01,695.43
1963-08-01,729.32
1963-09-01,732.79
1963-10-01,755.23
1963-11-01,750.52
1963-12-01,762.95
1964-01-01,785.34
1964-02-01,800.14
1964-03-01,813.29
1964-04-01,810.77
1964-05-01,820.56
1964-06-01,831.5
1964-07-01,841.1
1964-08-01,838.48
1964-09-01,875.37
1964-10-01,873.08
1964-11-01,875.43
1964-12-01,874.13
1965-01-01,902.86
1965-02-01,903.48
1965-03-01,889.05
1965-04-01,922.31
1965-05-01,918.04
1965-06-01,868.03
1965-07-01,881.74
1965-08-01,893.1
1965-09-01,930.58
1965-10-01,960.82
1965-11-01,946.71
1965-12-01,969.26
1966-01-01,983.51
1966-02-01,951.89
1966-03-01,924.77
1966-04-01,933.68
1966-05-01,884.07
