Date,CPI Raw,CPI MoM%,CPI 6M % Change,CPI Annualized % Change,Core Raw,Core MoM%,Core 6M % Change,Core Annualized % Change,GDP,Unemployment Rate, SPX , DJI , NDX ,Fed Funds Rate
7/1/1957,28.19,0.3%,1.9%,3.8%,29,0.3%,1.8%,3.5%,,4.2, 47.91 , 508.52 ,,2.99
8/1/1957,28.28,0.3%,1.7%,3.5%,29,0.0%,1.4%,2.8%,,4.1, 45.22 , 484.35 ,,3.24
9/1/1957,28.32,0.1%,1.7%,3.3%,29.1,0.3%,1.4%,2.8%,,4.4, 42.42 , 456.30 ,,3.47
10/1/1957,28.32,0.0%,1.4%,2.8%,29.2,0.3%,1.4%,2.8%,,4.5, 41.06 , 441.04 ,,3.5
11/1/1957,28.41,0.3%,1.5%,2.9%,29.3,0.3%,1.7%,3.5%,,5.1, 41.72 , 449.87 ,,3.28
12/1/1957,28.47,0.2%,1.3%,2.6%,29.3,0.0%,1.4%,2.8%,,5.2, 39.99 , 435.69 ,,2.98
1/1/1958,28.64,0.6%,1.6%,3.2%,29.3,0.0%,1.0%,2.1%,,5.8, 41.70 , 450.02 ,,2.72
2/1/1958,28.7,0.2%,1.5%,3.0%,29.4,0.3%,1.4%,2.8%,,6.4, 40.84 , 439.92 ,,1.67
3/1/1958,28.87,0.6%,1.9%,3.9%,29.5,0.3%,1.4%,2.7%,,6.7, 42.10 , 446.76 ,,1.2
4/1/1958,28.94,0.2%,2.2%,4.4%,29.5,0.0%,1.0%,2.1%,,7.4, 43.44 , 455.86 ,,1.26
5/1/1958,28.94,0.0%,1.9%,3.7%,29.5,0.0%,0.7%,1.4%,,7.4, 44.09 , 462.70 ,,0.63
6/1/1958,28.91,-0.1%,1.5%,3.1%,29.6,0.3%,1.0%,2.0%,,7.3, 45.24 , 478.18 ,,0.93
7/1/1958,28.89,-0.1%,0.9%,1.7%,29.6,0.0%,1.0%,2.0%,,7.5, 47.19 , 502.99 ,,0.68
8/1/1958,28.94,0.2%,0.8%,1.7%,29.6,0.0%,0.7%,1.4%,,7.4, 47.75 , 508.63 ,,1.53
9/1/1958,28.91,-0.1%,0.1%,0.3%,29.7,0.3%,0.7%,1.4%,,7.1, 50.06 , 532.09 ,,1.76
10/1/1958,28.91,0.0%,-0.1%,-0.2%,29.7,0.0%,0.7%,1.4%,,6.7, 51.33 , 543.22 ,,1.8
11/1/1958,28.95,0.1%,0.0%,0.1%,29.8,0.3%,1.0%,2.0%,,6.2, 52.48 , 557.46 ,,2.27
12/1/1958,28.97,0.1%,0.2%,0.4%,29.9,0.3%,1.0%,2.0%,,6.2, 55.21 , 583.65 ,,2.42
1/1/1959,29.01,0.1%,0.4%,0.8%,29.9,0.0%,1.0%,2.0%,,6, 55.45 , 593.96 ,,2.48
2/1/1959,29,0.0%,0.2%,0.4%,29.9,0.0%,1.0%,2.0%,,5.9, 55.41 , 603.50 ,,2.43
3/1/1959,28.97,-0.1%,0.2%,0.4%,30,0.3%,1.0%,2.0%,,5.6, 55.44 , 601.71 ,,2.8
4/1/1959,28.98,0.0%,0.2%,0.5%,30,0.0%,1.0%,2.0%,,5.2, 57.59 , 623.75 ,,2.96
5/1/1959,29.04,0.2%,0.3%,0.6%,30.1,0.3%,1.0%,2.0%,,5.1, 58.68 , 643.79 ,,2.9
6/1/1959,29.11,0.2%,0.5%,1.0%,30.2,0.3%,1.0%,2.0%,,5, 58.47 , 643.60 ,,3.39
7/1/1959,29.15,0.1%,0.5%,1.0%,30.2,0.0%,1.0%,2.0%,,5.1, 60.51 , 674.88 ,,3.47
8/1/1959,29.18,0.1%,0.6%,1.2%,30.2,0.0%,1.0%,2.0%,,5.2, 59.60 , 664.41 ,,3.5
9/1/1959,29.25,0.2%,1.0%,1.9%,30.3,0.3%,1.0%,2.0%,,5.5, 56.88 , 631.68 ,,3.76
10/1/1959,29.35,0.3%,1.3%,2.6%,30.4,0.3%,1.3%,2.7%,,5.7, 57.52 , 646.60 ,,3.98
11/1/1959,29.35,0.0%,1.1%,2.1%,30.4,0.0%,1.0%,2.0%,,5.8, 58.28 , 659.18 ,,4
12/1/1959,29.41,0.2%,1.0%,2.1%,30.5,0.3%,1.0%,2.0%,,5.3, 59.89 , 679.36 ,,3.99
1/1/1960,29.37,-0.1%,0.8%,1.5%,30.5,0.0%,1.0%,2.0%,,5.2, 55.61 , 622.62 ,,3.99
2/1/1960,29.41,0.1%,0.8%,1.6%,30.6,0.3%,1.3%,2.6%,,4.8, 56.12 , 630.12 ,,3.97
3/1/1960,29.41,0.0%,0.5%,1.1%,30.6,0.0%,1.0%,2.0%,,5.4, 55.34 , 616.59 ,,3.84
4/1/1960,29.54,0.4%,0.6%,1.3%,30.6,0.0%,0.7%,1.3%,,5.2, 54.37 , 601.70 ,,3.92
5/1/1960,29.57,0.1%,0.7%,1.5%,30.6,0.0%,0.7%,1.3%,,5.1, 55.83 , 625.50 ,,3.85
6/1/1960,29.61,0.1%,0.7%,1.4%,30.7,0.3%,0.7%,1.3%,,5.4, 56.92 , 640.62 ,,3.32
7/1/1960,29.55,-0.2%,0.6%,1.2%,30.6,-0.3%,0.3%,0.7%,,5.5, 55.51 , 616.73 ,,3.23
8/1/1960,29.61,0.2%,0.7%,1.4%,30.6,0.0%,0.0%,0.0%,,5.6, 56.96 , 625.99 ,,2.98
9/1/1960,29.61,0.0%,0.7%,1.4%,30.6,0.0%,0.0%,0.0%,,5.5, 53.52 , 580.14 ,,2.6
10/1/1960,29.75,0.5%,0.7%,1.4%,30.8,0.7%,0.7%,1.3%,,6.1, 53.39 , 580.36 ,,2.47
11/1/1960,29.78,0.1%,0.7%,1.4%,30.8,0.0%,0.7%,1.3%,,6.1, 55.54 , 597.22 ,,2.44
12/1/1960,29.81,0.1%,0.7%,1.4%,30.7,-0.3%,0.0%,0.0%,,6.6, 58.11 , 615.89 ,,1.98
1/1/1961,29.84,0.1%,1.0%,2.0%,30.8,0.3%,0.7%,1.3%,,6.6, 61.78 , 648.20 ,,1.45
2/1/1961,29.84,0.0%,0.8%,1.6%,30.8,0.0%,0.7%,1.3%,,6.9, 63.44 , 662.08 ,,2.54
3/1/1961,29.84,0.0%,0.8%,1.6%,30.9,0.3%,1.0%,2.0%,,6.9, 65.06 , 676.63 ,,2.02
4/1/1961,29.81,-0.1%,0.2%,0.4%,30.9,0.0%,0.3%,0.6%,,7, 65.31 , 678.71 ,,1.49
5/1/1961,29.84,0.1%,0.2%,0.4%,30.9,0.0%,0.3%,0.6%,,7.1, 66.56 , 696.72 ,,1.98
6/1/1961,29.84,0.0%,0.1%,0.2%,31,0.3%,1.0%,2.0%,,6.9, 64.64 , 683.96 ,,1.73
7/1/1961,29.92,0.3%,0.3%,0.5%,31,0.0%,0.6%,1.3%,,7, 66.76 , 705.37 ,,1.17
8/1/1961,29.94,0.1%,0.3%,0.7%,31.1,0.3%,1.0%,1.9%,,6.6, 68.07 , 719.94 ,,2
9/1/1961,29.98,0.1%,0.5%,0.9%,31.1,0.0%,0.6%,1.3%,,6.7, 66.73 , 701.21 ,,1.88
10/1/1961,29.98,0.0%,0.6%,1.1%,31.1,0.0%,0.6%,1.3%,,6.5, 68.62 , 703.92 ,,2.26
11/1/1961,29.98,0.0%,0.5%,0.9%,31.2,0.3%,1.0%,1.9%,,6.1, 71.32 , 721.60 ,,2.61
12/1/1961,30.01,0.1%,0.6%,1.1%,31.2,0.0%,0.6%,1.3%,,6, 71.55 , 731.14 ,,2.33
1/1/1962,30.04,0.1%,0.4%,0.8%,31.2,0.0%,0.6%,1.3%,,5.8, 68.84 , 700.00 ,,2.15
2/1/1962,30.11,0.2%,0.6%,1.1%,31.2,0.0%,0.3%,0.6%,,5.5, 69.96 , 708.05 ,,2.37
3/1/1962,30.17,0.2%,0.6%,1.3%,31.3,0.3%,0.6%,1.3%,,5.6, 69.55 , 706.95 ,,2.85
4/1/1962,30.21,0.1%,0.8%,1.5%,31.3,0.0%,0.6%,1.3%,,5.6, 65.24 , 665.33 ,,2.78
5/1/1962,30.24,0.1%,0.9%,1.7%,31.4,0.3%,0.6%,1.3%,,5.5, 59.63 , 613.36 ,,2.36
6/1/1962,30.21,-0.1%,0.7%,1.3%,31.4,0.0%,0.6%,1.3%,,5.5, 54.75 , 561.28 ,,2.68
7/1/1962,30.22,0.0%,0.6%,1.2%,31.4,0.0%,0.6%,1.3%,,5.4, 58.23 , 597.93 ,,2.71
8/1/1962,30.28,0.2%,0.6%,1.1%,31.5,0.3%,1.0%,1.9%,,5.7, 59.12 , 609.18 ,,2.93
9/1/1962,30.42,0.5%,0.8%,1.7%,31.5,0.0%,0.6%,1.3%,,5.6, 56.27 , 578.98 ,,2.9
10/1/1962,30.38,-0.1%,0.6%,1.1%,31.5,0.0%,0.6%,1.3%,,5.4, 56.52 , 589.77 ,,2.9
11/1/1962,30.38,0.0%,0.5%,0.9%,31.5,0.0%,0.3%,0.6%,,5.7, 62.26 , 649.30 ,,2.94
12/1/1962,30.38,0.0%,0.6%,1.1%,31.6,0.3%,0.6%,1.3%,,5.5, 63.10 , 652.10 ,,2.93
1/1/1963,30.44,0.2%,0.7%,1.5%,31.5,-0.3%,0.3%,0.6%,,5.7, 66.20 , 682.85 ,,2.92
2/1/1963,30.48,0.1%,0.7%,1.3%,31.6,0.3%,0.3%,0.6%,,5.9, 64.29 , 662.94 ,,3
3/1/1963,30.51,0.1%,0.3%,0.6%,31.7,0.3%,0.6%,1.3%,,5.7, 66.57 , 682.52 ,,2.98
4/1/1963,30.48,-0.1%,0.3%,0.7%,31.7,0.0%,0.6%,1.3%,,5.7, 69.80 , 717.70 ,,2.9
5/1/1963,30.51,0.1%,0.4%,0.9%,31.7,0.0%,0.6%,1.3%,,5.9, 70.80 , 726.96 ,,3
6/1/1963,30.61,0.3%,0.8%,1.5%,31.8,0.3%,0.6%,1.3%,,5.6, 69.37 , 706.88 ,,2.99
7/1/1963,30.69,0.3%,0.8%,1.6%,31.8,0.0%,1.0%,1.9%,,5.6, 69.13 , 695.43 ,,3.02
8/1/1963,30.75,0.2%,0.9%,1.8%,31.9,0.3%,0.9%,1.9%,,5.4, 72.50 , 729.32 ,,3.49
9/1/1963,30.72,-0.1%,0.7%,1.4%,31.9,0.0%,0.6%,1.3%,,5.5, 71.70 , 732.79 ,,3.48
10/1/1963,30.75,0.1%,0.9%,1.8%,32,0.3%,0.9%,1.9%,,5.5, 74.01 , 755.23 ,,3.5
