Date,Raw,Pct,6m_pct_change,annualized_change
01/01/1947,,,,
02/01/1947,,,,
03/01/1947,,,,
04/01/1947,,,,
05/01/1947,,,,
06/01/1947,,,,
07/01/1947,,,,
08/01/1947,,,,
09/01/1947,,,,
10/01/1947,,,,
11/01/1947,,,,
12/01/1947,,,,
01/01/1948,,,,
02/01/1948,,,,
03/01/1948,,,,
04/01/1948,,,,
05/01/1948,,,,
06/01/1948,,,,
07/01/1948,,,,
08/01/1948,,,,
09/01/1948,,,,
10/01/1948,,,,
11/01/1948,,,,
12/01/1948,,,,
01/01/1949,,,,
02/01/1949,,,,
03/01/1949,,,,
04/01/1949,,,,
05/01/1949,,,,
06/01/1949,,,,
07/01/1949,,,,
08/01/1949,,,,
09/01/1949,,,,
10/01/1949,,,,
11/01/1949,,,,
12/01/1949,,,,
01/01/1950,,,,
02/01/1950,,,,
03/01/1950,,,,
04/01/1950,,,,
05/01/1950,,,,
06/01/1950,,,,
07/01/1950,,,,
08/01/1950,,,,
09/01/1950,,,,
10/01/1950,,,,
11/01/1950,,,,
12/01/1950,,,,
01/01/1951,,,,
02/01/1951,,,,
03/01/1951,,,,
04/01/1951,,,,
05/01/1951,,,,
06/01/1951,,,,
07/01/1951,,,,
08/01/1951,,,,
09/01/1951,,,,
10/01/1951,,,,
11/01/1951,,,,
12/01/1951,,,,
01/01/1952,,,,
02/01/1952,,,,
03/01/1952,,,,
04/01/1952,,,,
05/01/1952,,,,
06/01/1952,,,,
07/01/1952,,,,
08/01/1952,,,,
09/01/1952,,,,
10/01/1952,,,,
11/01/1952,,,,
12/01/1952,,,,
01/01/1953,,,,
02/01/1953,,,,
03/01/1953,,,,
04/01/1953,,,,
05/01/1953,,,,
06/01/1953,,,,
07/01/1953,,,,
08/01/1953,,,,
09/01/1953,,,,
10/01/1953,,,,
11/01/1953,,,,
12/01/1953,,,,
01/01/1954,,,,
02/01/1954,,,,
03/01/1954,,,,
04/01/1954,,,,
05/01/1954,,,,
06/01/1954,,,,
07/01/1954,,,,
08/01/1954,,,,
09/01/1954,,,,
10/01/1954,,,,
11/01/1954,,,,
12/01/1954,,,,
01/01/1955,,,,
02/01/1955,,,,
03/01/1955,,,,
04/01/1955,,,,
05/01/1955,,,,
06/01/1955,,,,
07/01/1955,,,,
08/01/1955,,,,
09/01/1955,,,,
10/01/1955,,,,
11/01/1955,,,,
12/01/1955,,,,
01/01/1956,,,,
02/01/1956,,,,
03/01/1956,,,,
04/01/1956,,,,
05/01/1956,,,,
06/01/1956,,,,
07/01/1956,,,,
08/01/1956,,,,
09/01/1956,,,,
10/01/1956,,,,
11/01/1956,,,,
12/01/1956,,,,
01/01/1957,28.5,,,
02/01/1957,28.6,0.0035087719298245723,,
03/01/1957,28.7,0.0034965034965033226,,
04/01/1957,28.8,0.0034843205574912606,,
05/01/1957,28.8,0.0,,
06/01/1957,28.9,0.003472222222222099,,
07/01/1957,29.0,0.0034602076124568004,0.017543859649122806,0.03508771929824561
08/01/1957,29.0,0.0,0.013986013986013936,0.02797202797202787
09/01/1957,29.1,0.0034482758620690834,0.013937282229965231,0.027874564459930463
10/01/1957,29.2,0.0034364261168384758,0.01388888888888884,0.02777777777777768
11/01/1957,29.3,0.0034246575342467,0.017361111111111112,0.034722222222222224
12/01/1957,29.3,0.0,0.013840830449827065,0.02768166089965413
01/01/1958,29.3,0.0,0.01034482758620692,0.02068965517241384
02/01/1958,29.4,0.0034129692832762792,0.013793103448275813,0.027586206896551627
03/01/1958,29.5,0.003401360544217802,0.013745704467353903,0.027491408934707806
04/01/1958,29.5,0.0,0.010273972602739751,0.020547945205479503
05/01/1958,29.5,0.0,0.006825938566552877,0.013651877133105754
06/01/1958,29.6,0.003389830508474523,0.010238907849829375,0.02047781569965875
07/01/1958,29.6,0.0,0.010238907849829375,0.02047781569965875
08/01/1958,29.6,0.0,0.006802721088435471,0.013605442176870942
09/01/1958,29.7,0.0033783783783782884,0.006779661016949128,0.013559322033898256
10/01/1958,29.7,0.0,0.006779661016949128,0.013559322033898256
11/01/1958,29.8,0.0033670033670034627,0.010169491525423752,0.020338983050847505
12/01/1958,29.9,0.003355704697986406,0.010135135135135039,0.020270270270270077
01/01/1959,29.9,0.0,0.010135135135135039,0.020270270270270077
02/01/1959,29.9,0.0,0.010135135135135039,0.020270270270270077
03/01/1959,30.0,0.0033444816053511683,0.010101010101010124,0.02020202020202025
04/01/1959,30.0,0.0,0.010101010101010124,0.02020202020202025
05/01/1959,30.1,0.0033333333333334103,0.010067114093959755,0.02013422818791951
06/01/1959,30.2,0.0033222591362125353,0.010033444816053536,0.020066889632107072
07/01/1959,30.2,0.0,0.010033444816053536,0.020066889632107072
08/01/1959,30.2,0.0,0.010033444816053536,0.020066889632107072
09/01/1959,30.3,0.0033112582781458233,0.010000000000000024,0.02000000000000005
10/01/1959,30.4,0.0033003300330032292,0.013333333333333286,0.02666666666666657
11/01/1959,30.4,0.0,0.00996677740863778,0.01993355481727556
12/01/1959,30.5,0.00328947368421062,0.009933774834437109,0.019867549668874218
01/01/1960,30.5,0.0,0.009933774834437109,0.019867549668874218
