Date,close
1871-02-01,4.5
1871-03-01,4.61
1871-05-01,4.86
1871-06-01,4.82
1871-08-01,4.79
1871-09-01,4.84
1871-11-01,4.64
1871-12-01,4.74
1872-01-01,4.86
1872-02-01,4.88
1872-03-01,5.04
1872-04-01,5.18
1872-05-01,5.18
1872-07-01,5.1
1872-08-01,5.04
1872-10-01,4.97
1872-11-01,4.95
1873-01-01,5.11
1873-04-01,5.04
1873-05-01,5.05
1873-07-01,4.97
1873-08-01,4.97
1873-09-01,4.59
1873-10-01,4.19
1873-12-01,4.42
1874-01-01,4.66
1874-04-01,4.6
1874-05-01,4.48
1874-06-01,4.46
1874-07-01,4.46
1874-09-01,4.54
1874-10-01,4.53
1874-12-01,4.54
1875-01-01,4.54
1875-02-01,4.53
1875-03-01,4.59
1875-04-01,4.65
1875-06-01,4.38
1875-07-01,4.39
1875-09-01,4.37
1875-10-01,4.3
1875-11-01,4.37
1875-12-01,4.37
1876-02-01,4.52
1876-03-01,4.51
1876-05-01,4.18
1876-06-01,4.15
1876-08-01,3.93
1876-09-01,3.69
1876-11-01,3.6
1876-12-01,3.58
1877-01-01,3.55
1877-02-01,3.34
1877-03-01,3.17
1877-05-01,2.94
1877-06-01,2.73
1877-08-01,3.05
1877-10-01,3.31
1877-11-01,3.26
1878-01-01,3.25
1878-02-01,3.18
1878-03-01,3.24
1878-04-01,3.33
1878-05-01,3.34
1878-07-01,3.48
1878-08-01,3.45
1878-10-01,3.48
1878-11-01,3.47
1879-01-01,3.58
1879-04-01,3.77
1879-05-01,3.94
1879-07-01,4.04
1879-08-01,4.07
1879-09-01,4.22
1879-10-01,4.68
1879-12-01,4.92
1880-01-01,5.11
1880-03-01,5.3
1880-04-01,5.18
1880-06-01,4.79
1880-07-01,5.01
1880-09-01,5.18
1880-10-01,5.33
1880-11-01,5.61
1880-12-01,5.84
1881-02-01,6.17
1881-03-01,6.24
1881-04-01,6.22
1881-06-01,6.58
1881-07-01,6.35
1881-08-01,6.2
1881-09-01,6.25
1881-11-01,6.19
1881-12-01,6.01
1882-02-01,5.79
1882-03-01,5.78
1882-05-01,5.71
1882-06-01,5.68
1882-08-01,6.18
1882-09-01,6.24
1882-11-01,5.81
1882-12-01,5.84
1883-01-01,5.81
1883-02-01,5.68
1883-03-01,5.75
1883-05-01,5.77
1883-06-01,5.82
1883-08-01,5.47
1883-10-01,5.38
1883-11-01,5.46
1884-01-01,5.18
1884-02-01,5.32
1884-04-01,5.06
1884-05-01,4.65
1884-07-01,4.46
1884-08-01,4.74
1884-09-01,4.59
1884-10-01,4.44
1884-12-01,4.34
1885-01-01,4.24
1885-04-01,4.37
1885-05-01,4.32
1885-06-01,4.3
1885-07-01,4.46
1885-09-01,4.65
1885-10-01,4.92
1885-12-01,5.2
1886-01-01,5.2
1886-02-01,5.3
1886-03-01,5.19
1886-04-01,5.12
1886-06-01,5.25
1886-07-01,5.33
1886-09-01,5.51
1886-10-01,5.65
1886-11-01,5.79
1886-12-01,5.64
1887-02-01,5.54
1887-03-01,5.67
1887-04-01,5.8
1887-06-01,5.73
1887-07-01,5.59
1887-08-01,5.45
1887-09-01,5.38
1887-11-01,5.3
1887-12-01,5.27
1888-02-01,5.28
1888-03-01,5.08
1888-05-01,5.17
1888-06-01,5.01
1888-08-01,5.25
1888-10-01,5.35
1888-11-01,5.24
1889-01-01,5.24
1889-02-01,5.3
1889-03-01,5.19
1889-04-01,5.18
1889-05-01,5.32
1889-07-01,5.3
1889-08-01,5.37
1889-10-01,5.4
1889-11-01,5.35
1890-01-01,5.38
1890-04-01,5.39
1890-05-01,5.62
1890-07-01,5.54
1890-08-01,5.41
1890-09-01,5.32
1890-10-01,5.08
1890-12-01,4.6
1891-01-01,4.84
1891-04-01,4.97
1891-05-01,4.95
1891-06-01,4.85
1891-07-01,4.77
1891-09-01,5.33
1891-10-01,5.33
1891-12-01,5.41
1892-01-01,5.51
1892-02-01,5.52
1892-03-01,5.58
1892-04-01,5.57
1892-06-01,5.54
1892-07-01,5.54
1892-08-01,5.62
1892-09-01,5.48
1892-11-01,5.57
1892-12-01,5.51
1893-02-01,5.51
1893-03-01,5.31
1893-05-01,4.84
1893-06-01,4.61
1893-08-01,4.08
1893-09-01,4.37
1893-11-01,4.57
1893-12-01,4.41
1894-01-01,4.32
1894-02-01,4.38
1894-03-01,4.51
1894-05-01,4.4
1894-06-01,4.34
1894-08-01,4.41
1894-10-01,4.34
1894-11-01,4.34
1895-01-01,4.25
1895-02-01,4.19
1895-03-01,4.19
1895-04-01,4.37
1895-05-01,4.61
1895-07-01,4.72
1895-08-01,4.79
1895-10-01,4.75
1895-11-01,4.59
1896-01-01,4.27
1896-04-01,4.42
1896-05-01,4.4
1896-06-01,4.32
1896-07-01,4.04
1896-09-01,4.01
1896-10-01,4.1
1896-12-01,4.22
1897-01-01,4.22
1897-02-01,4.18
1897-03-01,4.19
1897-04-01,4.06
1897-06-01,4.27
1897-07-01,4.46
1897-09-01,4.98
1897-10-01,4.82
1897-11-01,4.65
1897-12-01,4.75
1898-02-01,4.87
1898-03-01,4.65
1898-04-01,4.57
1898-06-01,5.06
1898-07-01,5.08
1898-08-01,5.27
1898-09-01,5.26
1898-11-01,5.32
1898-12-01,5.65
1899-02-01,6.31
1899-03-01,6.4
1899-05-01,6.21
1899-06-01,6.07
1899-08-01,6.44
1899-09-01,6.37
1899-11-01,6.46
1899-12-01,6.02
1900-01-01,6.1
1900-02-01,6.21
1900-03-01,6.26
1900-05-01,6.04
1900-06-01,5.86
1900-08-01,5.94
1900-10-01,6.01
1900-11-01,6.48
1901-01-01,7.07
1901-02-01,7.25
1901-03-01,7.51
1901-04-01,8.14
1901-05-01,7.73
1901-07-01,7.93
1901-08-01,8.04
1901-10-01,7.91
1901-11-01,8.08
1902-01-01,8.12
1902-04-01,8.48
1902-05-01,8.46
1902-07-01,8.6
1902-08-01,8.83
1902-09-01,8.85
1902-10-01,8.57
1902-12-01,8.05
1903-01-01,8.46
1903-04-01,7.75
1903-05-01,7.6
1903-06-01,7.18
1903-07-01,6.85
1903-09-01,6.47
1903-10-01,6.26
1903-12-01,6.57
1904-01-01,6.68
1904-02-01,6.5
1904-03-01,6.48
1904-04-01,6.64
1904-06-01,6.51
1904-07-01,6.78
1904-08-01,7.01
1904-09-01,7.32
1904-11-01,8.17
1904-12-01,8.25
1905-02-01,8.8
1905-03-01,9.05
1905-05-01,8.5
1905-06-01,8.6
1905-08-01,9.2
1905-09-01,9.23
1905-11-01,9.31
1905-12-01,9.54
1906-01-01,9.87
1906-02-01,9.8
1906-03-01,9.56
1906-05-01,9.18
1906-06-01,9.3
1906-08-01,9.73
1906-10-01,9.73
1906-11-01,9.93
1907-01-01,9.56
1907-02-01,9.26
1907-03-01,8.35
1907-04-01,8.39
1907-05-01,8.1
1907-07-01,8.14
1907-08-01,7.53
1907-10-01,6.64
1907-11-01,6.25
1908-01-01,6.85
1908-04-01,7.24
1908-05-01,7.63
1908-06-01,7.64
1908-07-01,7.92
1908-09-01,8.17
1908-10-01,8.27
1908-12-01,9.03
1909-01-01,9.06
1909-02-01,8.8
1909-03-01,8.92
1909-04-01,9.32
1909-06-01,9.8
1909-07-01,9.94
1909-09-01,10.19
1909-10-01,10.23
1909-11-01,10.18
1909-12-01,10.3
1910-02-01,9.72
1910-03-01,9.96
1910-04-01,9.72
1910-06-01,9.1
1910-07-01,8.64
1910-08-01,8.85
1910-09-01,8.91
1910-11-01,9.31
1910-12-01,9.05
1911-02-01,9.43
1911-03-01,9.32
1911-05-01,9.48
1911-06-01,9.67
1911-08-01,9.17
1911-09-01,8.67
1911-11-01,9.07
1911-12-01,9.11
1912-01-01,9.12
1912-02-01,9.04
1912-03-01,9.3
1912-04-01,9.59
1912-05-01,9.58
1912-07-01,9.59
1912-08-01,9.81
1912-10-01,9.84
1912-11-01,9.73
1913-01-01,9.3
1913-04-01,8.79
1913-05-01,8.55
1913-07-01,8.23
1913-08-01,8.45
1913-09-01,8.53
1913-10-01,8.26
1913-12-01,8.04
1914-01-01,8.37
1914-04-01,8.12
1914-05-01,8.17
1914-06-01,8.13
1914-07-01,7.68
1914-09-01,7.68
1914-10-01,7.68
1914-12-01,7.35
1915-01-01,7.48
1915-02-01,7.38
1915-03-01,7.57
1915-04-01,8.14
1915-06-01,8.04
1915-07-01,8.01
1915-09-01,8.66
1915-10-01,9.14
1915-11-01,9.46
1915-12-01,9.48
