time,open,high,low,close
-2324712600,29.39,29.43,29.11,29.43
-2322034200,29.4,29.4,25.73,26.18
-2319442200,25.05,25.49,22.09,23.19
-2316591000,22.81,23.15,20.76,23.15
-2314085400,23.19,26.51,23.19,26.11
-2311493400,26.08,28.54,25.16,28.54
-2308728600,29.64,32.52,29.64,29.69
-2306223000,30.4,30.58,27.95,29.3
-2303544600,29.24,31.32,29.24,30.46
-2300866200,30.69,30.69,28.78,29.9
-2298447000,30.19,30.51,28.34,28.59
-2295768600,28.8,29.28,27.88,28.22
-2293003800,28.09,28.93,28.01,28.71
-2290498200,28.98,32.31,28.98,31.94
-2287906200,32.02,34.73,31.58,34.73
-2285141400,35.37,39.7,35.37,39.7
-2282549400,40.15,40.43,36.92,36.92
-2279957400,37.33,38.14,35.07,35.35
-2277279000,35.57,35.57,33.06,34.37
-2274687000,35.06,36.07,34.87,35.79
-2271835800,35.71,36.7,34.76,36.22
-2269330200,36.04,36.33,32.35,33.44
-2266911000,34.38,34.38,30.42,32.9
-2264232600,31.97,33.55,31.34,33.13
-2261554200,35.2,38.2,34.98,38.2
-2258962200,38.29,38.9,36.84,38.11
-2256370200,38.39,39.23,37.86,39.12
-2253691800,39.54,44.16,39.54,43.71
-2251013400,43.82,43.82,38.7,38.7
-2248248600,38.83,40.15,37.34,40.15
-2245743000,39.79,41.43,39.48,41.43
-2243151000,42.12,43.83,42.11,43.83
-2240386200,43.75,47.09,43.75,46.61
-2237794200,46.67,48.78,44.87,48.37
-2235375000,48.26,54.1,47.73,53.83
-2232523800,55.06,55.97,52.58,55.84
-2230104600,54.02,55.07,48.89,48.89
-2227426200,49.54,52.93,49.54,50.97
-2224661400,51.77,53.4,51.1,53.4
-2222155800,53.51,55.21,53.36,54.8
-2219477400,54.73,56.21,52.43,52.78
-2216799000,51.39,54.3,51.39,54.3
-2214207000,54.44,54.9,53.36,54.72
-2211615000,54.66,54.66,42.2,47.6
-2208936600,49.34,49.34,45.82,47.89
-2206258200,48.77,49.51,45.88,46.32
-2203839000,46.05,47.36,44.26,47.36
-2201074200,47.47,47.91,44.32,44.42
-2198568600,44.41,44.41,41.01,42.8
-2195890200,43.01,43.01,38.88,39.71
-2193211800,40.18,42.75,40.18,41.14
-2190619800,41.33,42.66,41.33,41.87
-2187768600,42.4,42.43,38.36,39.21
-2185349400,39.8,44.03,39.49,42.76
-2182671000,42.86,50.02,42.86,48.23
-2179906200,48.11,51.45,46.48,51.21
-2177400600,51.02,51.02,47.02,48.39
-2174722200,49.04,51.26,48.52,48.52
-2172303000,49.08,50.28,48.66,50.28
-2169624600,51.36,54.96,51.36,54.9
-2167032600,54.99,54.99,48.8,54.88
-2164181400,56.3,56.68,55.12,55.38
-2161762200,55.83,55.83,50.31,51.88
-2159083800,51.94,53.47,50.01,53.21
-2156319000,52.62,53.07,47.96,48.28
-2153813400,47.85,47.85,46.15,46.68
-2151135000,46.84,48.18,46.7,47.57
-2148456600,46.37,46.98,44.56,46.76
-2145864600,46.58,47.2,45.32,47.04
-2143013400,46.91,47.46,46.77,46.94
-2140594200,47.29,48.9,46.91,48.66
-2138088600,48.67,49.57,47.76,48.53
-2135496600,48.6,48.6,46.88,48.1
-2132731800,47.99,47.99,46.11,46.58
-2130226200,46.53,48.73,46.53,47.67
-2127547800,47.74,48.37,47.32,48
-2124869400,48.2,49.08,46.4,47.91
-2122277400,48.13,48.22,46.24,47.84
-2119426200,47.47,47.47,43.9,45
-2117007000,45.29,46.56,43.14,46.56
-2114328600,46.79,48.04,46.49,47.05
-2111563800,47.46,49.03,47.46,47.92
-2109144600,47.81,47.81,45.53,46.09
-2106552600,45.97,46.76,44.03,46.19
-2103960600,46.24,46.4,43.65,43.65
-2101282200,43.16,43.38,41.03,42.79
-2098690200,42.59,42.59,36.1,36.76
-2095839000,36.63,39.02,34.75,38.52
-2093333400,38.2,38.2,32.66,33.17
-2090741400,34.08,34.49,30.6,32.46
-2087976600,32.92,32.92,30.53,32.11
-2085471000,32.12,35.74,32.12,35.57
-2082792600,34.6,36.57,34.09,35.57
-2080114200,35.51,35.51,33.83,34.42
-2077608600,34.66,35.58,33.65,35.58
-2074930200,35.26,36.2,35.21,35.42
-2072251800,35.07,35.28,34.35,34.89
-2069659800,34.95,35.83,34.82,35.67
-2067067800,35.71,38.37,35.71,37.75
-2064389400,38.19,39.55,38.15,39.52
-2061711000,39.79,41.71,39.79,41.71
-2058946200,42.48,45.91,41.71,45.65
-2056440600,46.15,52.41,46.15,52.16
-2053848600,52.18,53.04,47.63,50.73
-2051083800,50.98,51.66,49.8,51.66
-2048491800,51.36,55.12,51.36,54.43
-2046072600,55.09,57.95,54.98,57.95
-2043221400,58.76,60.66,56.4,56.4
-2040802200,55.69,56.53,51.69,53.83
-2038123800,52.99,56.33,52.53,55.67
-2035359000,57,59.17,56.51,59.17
-2032853400,58.92,59.98,58.4,58.4
-2030175000,57.69,59.32,56.93,58.95
-2027496600,59.51,60.67,58.54,60.67
-2024904600,60.94,65.1,58.54,65.1
-2022312600,64.91,69.93,64.86,69.93
-2019634200,68.8,74.6,68.4,72.92
-2016955800,73.55,73.66,68.04,68.04
-2014536600,67.96,70.22,67.28,69.96
