time,open,high,low,close
473437800,125,125,125,125
476116200,124.63,128.65,123.52,123.52
478535400,124.84,125.11,115.02,117.36
481213800,118.72,118.84,115.14,115.38
483802200,114.83,123.36,114.36,119.64
486653400,119.78,122.14,114.56,122.14
489072600,122.42,126.61,120.31,123.27
491751000,124.55,124.55,117.92,118.3
494515800,117.57,117.57,110.62,110.62
497021400,110.620003,116.125,106.75,115.480003
499703400,115.480003,126.434998,115.480003,126.059998
502381800,126.059998,133.184998,124.720001,132.294998
504973800,132.294998,134.130005,128.054993,132.925003
507825000,132.925003,141.830002,132.925003,140.425003
510244200,140.425003,149.205002,139.565002,148.860001
512749800,148.860001,160.949997,144.830002,154.910004
515338200,154.910004,163.619995,153.725006,163.160004
518103000,163.160004,163.979996,156.865005,162.615005
520608600,162.615005,164.559998,142.729996,144.705002
523287000,144.705002,152.554993,140.179993,151.699997
525965400,151.699997,152.070007,133.279999,137.494995
528557400,137.520004,145.179993,137.404999,144.479996
531412200,144.479996,147.960007,138.955002,147.940002
533831400,147.940002,150.850006,140.945007,141.404999
536509800,141.404999,170.274994,141.404999,166.675003
539274600,166.705002,184.729996,166.580002,182.75
541693800,182.75,191.744995,179.865005,186.039993
544285800,186.039993,192.460007,177.509995,184.830002
546874200,184.830002,191.699997,179.735001,188.770004
549552600,188.770004,193.360001,184.440002,189.240005
552144600,189.240005,197.304993,186.565002,196.350006
554995800,196.350006,212.164993,194.095001,209.574997
557501400,209.574997,210.779999,196.134995,205.505005
560093400,205.505005,214.029999,126.25,150.070007
562861800,150.070007,154.119995,133.139999,137.125
565367400,137.125,158.419998,129.464996,156.25
568045800,156.25,169.139999,151.570007,159.130005
570724200,159.130005,174.050003,156.095001,172.639999
573229800,172.639999,182.735001,170.524994,173.259995
575908200,173.259995,180.910004,170.139999,175.919998
578583000,175.934998,180.104996,166.764999,173.345001
581175000,173.485001,189.345001,173.485001,189.024994
583767000,189.229996,192.770004,176.380005,181.160004
586445400,181.154999,182.190002,168.850006,170.994995
589123800,170.934998,180.309998,167.169998,179.365005
591888600,179.289993,180.524994,172.809998,174.779999
594397800,174.774994,175.619995,162.654999,169.184998
596989800,169.134995,177.860001,168.735001,177.410004
599754600,177.399994,186.690002,172.945007,186.470001
602346600,186.470001,192.994995,183.229996,183.789993
604765800,183.789993,187.684998,178.964996,185.869995
607613400,185.869995,200.494995,184.449997,200.470001
610032600,200.470001,215.184998,199.145004,214.544998
612711000,214.544998,220.809998,201.990005,204.585007
615475800,204.585007,214.335007,203.610001,214.274994
617981400,214.274994,222.149994,211.634995,222.005005
620659800,222.005005,227.634995,219.794998,226.389999
623338200,226.414993,238.845001,213.604996,222.615005
625933800,222.615005,225.759995,214.654999,224.445007
628525800,224.445007,227.854996,208.684998,223.835007
631204200,223.835007,228.940002,196.684998,201.940002
633882600,201.940002,210.434998,200.404999,207.914993
636301800,207.914993,220.134995,206.524994,213.145004
639063000,213.145004,218.25,202.970001,205.815002
641568600,205.815002,237.925003,205.815002,236.149994
644247000,236.149994,242.845001,231.759995,238.460007
646925400,238.460007,246.815002,221.360001,223.384995
649517400,223.384995,224.625,177.054993,193.615005
652368600,193.615005,195.875,169.324997,177.054993
654787800,177.054993,189.054993,162.550003,172.554993
657469800,172.554993,193.05,170.880005,192.65
660234600,192.65,203.48,192.65,200.53
662740200,200.53,232.67,190.89,232.42
665418600,232.42,252.85,231.27,250.01
667837800,250.11,267.93,247.79,264.9
