time,open,high,low,close
557445600,167.4,170.9,166.7,170.8
560037600,170.8,172.6,105.5,118.3
562806000,118.3,122.1,110.6,111.7
565311600,111.7,121.6,106.2,120.4
567990000,120.4,128.2,120.4,125.2
570668400,125.2,137.7,124.9,136.1
573174000,136.1,143.4,136.1,142.1
575852400,142.1,145.5,139.6,145
578527200,145,145.5,136.3,141.4
581119200,141.4,151.3,141.4,151.3
583711200,151.3,151.7,148.4,149.9
586389600,149.9,150.9,143.8,145.7
589068000,145.7,149.1,144.3,149.1
591832800,149.1,149.2,146.5,147.3
594342000,147.3,147.3,139.5,142
596934000,142,147.4,141.9,147.4
599698800,147.4,153.9,146.3,153.9
602290800,153.8,157.3,153.6,154.6
604710000,154.6,159.3,154.6,157.9
607557600,157.9,164.7,157.7,164.7
609976800,164.7,171.5,163.9,171.5
612655200,171.5,173.5,166.1,167.4
615420000,167.4,174.5,167.2,174.5
617925600,174.5,178.2,173.9,178.2
620604000,178.2,179.5,175.7,178.2
623282400,178.2,180.9,165.6,167.5
625878000,167.5,170,165.3,168.2
628470000,168.2,169.1,162.5,168.3
631148400,168.3,170.8,152.4,153.3
633826800,153.3,160.4,153.3,157.7
636246000,157.7,164.8,157.4,163.6
639007200,163.6,163.7,157.4,158.1
641512800,158.1,169.1,158.1,168.9
644191200,168.9,171.1,166.5,169.1
646869600,169.1,170.5,161.2,161.5
649461600,161.5,161.6,132.7,139.5
652312800,139.5,141,124.4,126.7
654732000,126.7,130,118.5,118.8
657414000,118.8,127.5,118.4,127.5
660178800,127.5,132.8,127.5,132.2
662684400,132.2,144.2,124.5,144.2
665362800,144.1,160,144.1,160
667782000,160,171,159.3,171
670460400,171,178.8,169.7,170.6
673048800,170.6,178.3,169.2,178.3
675900000,178.3,178.9,166.7,167.6
678319200,167.6,173,166.2,172.8
680997600,172.8,179.1,166.5,179.1
683762400,179.1,180.2,175.3,180.2
686268000,180.1,185,175.6,185
688950000,185,188.3,174.9,176.4
691628400,176.4,189.9,174.4,189.9
694220400,189.9,206,187.9,205.2
697071600,205.2,213,205.2,211.1
699490800,211.2,212.3,202.3,203.7
702082800,203.7,203.7,191.1,196.3
704671200,196.3,200.8,190.9,198.5
707349600,198.5,200.2,185.7,188.6
709941600,188.6,194.8,185.3,194.7
712792800,194.7,195.9,186,188.8
715298400,188.8,194.7,188.5,192.9
717890400,192.9,198.9,183.4,198.9
720658800,198.9,213.8,198.6,213.8
723164400,213.8,221,212.6,221
725842800,221,230.7,219.2,228.1
728521200,228.1,232.4,216.4,222.4
730940400,222.4,230.8,222.3,229.2
733618800,229.2,229.3,218.4,222.7
736380000,222.7,232.9,222.4,232.2
738885600,232.2,234.3,226.5,233.4
741477600,233.4,237.9,233,236.5
744242400,236.4,246.2,236.3,246.2
746834400,246.2,252.9,242.1,252.9
749426400,252.9,260.4,252.3,259.2
752108400,259.2,260.2,246.7,250.4
754700400,250.4,258.6,249.3,258.6
757551600,258.6,266.7,256,266.5
760057200,266.5,267.8,258.8,265.5
762476400,265.5,271.1,247.9,251.1
765154800,251.1,256,241.9,252.6
767829600,252.6,255,242.4,249.3
770421600,249.3,253.4,238.2,240.3
773013600,240.3,246,239.9,244.1
775692000,241.8,257.3,241.8,257.3
778370400,257.3,260.3,252.3,256.1
781135200,256.1,256.4,248,255
783644400,255,255,238.9,244.3
786236400,244.3,250.4,233.9,250.4
789001200,250.4,253.1,246.4,246.9
791593200,246.9,257.5,246.9,256.6
794012400,256.6,261.5,253.7,260.8
796860000,260.6,266.2,259.6,266.2
799279200,266.2,273.9,264.6,270.3
801957600,270.3,284.4,270.2,283.6
804722400,283.6,299.7,283.2,299.7
807228000,299.7,305.5,295.2,305.3
809906400,305.3,317,303.9,310.4
812584800,310.4,310.4,291.3,296.3
815180400,296.3,308.6,295.7,308.6
817772400,308.6,316,303.4,316
820450800,316,316.9,299.5,315.4
823129200,315.4,326.5,315.2,324.9
825634800,324.9,331.5,318.3,330.8
828313200,330.8,348.6,328.3,348.3
830901600,348.3,365,341.3,361.9
833752800,361.9,364.3,339.3,346.6
836172000,346.6,347.8,303,316
838850400,316,335.6,316,333.9
841615200,333.9,346.5,330.4,346.4
844120800,346.4,350.4,337.7,340.6
846802800,340.6,354.3,338.9,354.1
849481200,354.1,362.6,348.5,362.6
852073200,362.6,373.2,357.6,369.5
854924400,369.5,370.6,358.4,360
857343600,360,367.9,342.5,342.6
859849200,342.6,347.6,335.2,343
862437600,343,380.8,343,380.8
865202400,380.8,397,380.6,396.4
867708000,396.4,414.6,393,414.5
870386400,414.5,423.8,406.2,423.4
873064800,423.4,453.8,423.4,453.8
875656800,454.4,466.2,423.5,433.3
878511600,433.3,444.9,418.8,429.9
880930800,429.9,442,412.7,437
883609200,437,438.2,404.9,430
886374000,430,462.4,430,461.8
888793200,461.8,480.7,456.1,480.7
891385200,480.7,492.3,466,482.9
893973600,482.9,487.5,445.6,456.6
896652000,456.6,457.7,433.7,457.4
899244000,457.4,464.3,419.8,419.8
902095200,419.8,420.2,338,342.3
904600800,338,377,335.9,363.6
907192800,363.6,379.2,309.9,378.2
909961200,378.2,403.1,378.2,397.8
912466800,397.8,422,387.6,422
915145200,422,435.3,412.6,427.2
917823600,427.2,429.1,388.6,392.3
920242800,392.2,403.4,382,397.6
922921200,397.6,437.7,396.3,432.8
925682400,432.8,452.5,426,438.7
928188000,438.7,460.2,431,457.7
930780000,457.7,465.8,439.8,444.8
933544800,444.8,445.5,417.1,427.8
936136800,427.8,441.4,414.2,427.3
938728800,427.3,430.7,406.3,428.6
941410800,428.6,463.2,428.6,454.1
944002800,454.1,504.8,451.8,504.8
946854000,504.8,540.6,467.6,496.2
949359600,496.2,577.7,492.6,577.7
951865200,577.7,614.2,524.3,539.1
954712800,539,545.9,441.6,506.3
957132000,506.3,520.3,444,476.2
959810400,476.2,530.4,476.2,517.2
962575200,517.2,545.7,487.4,500.6
965080800,500.6,539.1,489.2,537.9
967759200,537.9,542.8,502.9,521.4
970437600,521.4,523.4,455.6,497.7
973033200,497.7,508.9,440.8,445.9
